IATA,Airport name,Country,City,lat,long,code,,,,
AKB,Atka Airport,United States of America,Atka,52.220299,-174.205994,US,,,,
AKC,Akron Fulton International Airport,United States of America,Akron,41.037355,-81.46784,US,,,,
AKD,Akola Airport,India,Akola,20.698931,77.056883,IN,,,,
AKE,Akieni Airport,Gabon,Akieni,-1.139670014,13.90359974,GA,,,,
AKF,Kufra Airport,Libya,Kufra,24.178699493408203,23.31399917602539,LY,,,,
AKG,Anguganak Airport,Papua New Guinea,Anguganak,-3.560504,142.217307,PG,,,,
AKI,Akiak Airport,United States of America,Akiak,60.902646,-161.23106,US,,,,
AKJ,Asahikawa Airport,Japan,Higashikagura,43.670799,142.447006,JP,,,,
AKK,Akhiok Airport,United States of America,Akhiok,56.938702,-154.182999,US,,,,
AKL,Auckland International Airport,New Zealand,Auckland,-37.01199,174.786331,NZ,,,,
AKM,Zakuoma Airport,Chad,ZaKouma,10.89027778,19.81722222,TD,,,,
AKN,King Salmon Airport,United States of America,King Salmon,58.677845,-156.651965,US,,,,
AKO,Colorado Plains Regional Airport,United States of America,Akron,40.17559814,-103.2220001,US,,,,
AKP,Anaktuvuk Pass Airport,United States of America,Anaktuvuk Pass,68.133598,-151.742996,US,,,,
AKQ,Gunung Batin Airport,Indonesia,Astraksetra,-4.61114,105.232002,ID,,,,
AKR,Akure Airport,Nigeria,Akure,7.246739864349365,5.3010101318359375,NG,,,,
AKS,Gwaunaru'u Airport,Solomon Islands,Auki,-8.70257,160.682007,SB,,,,
AKT,RAF Akrotiri,Cyprus,Akrotiri,34.590401,32.9879,CY,,,,
AKU,Aksu Hongqipo Airport,China,Aksu (Onsu),41.262501,80.291702,CN,,,,
AKV,Akulivik Airport,Canada,Akulivik,60.8186,-78.148598,CA,,,,
AKW,Aghajari Airport,Iran,Aghajari,30.7444,49.6772,IR,,,,
AKX,Aktobe Airport,Kazakhstan,Aktobe,50.2458,57.206699,KZ,,,,
AKY,Sittwe Airport,Myanmar,Sittwe,20.133165,92.870693,MM,,,,
ALA,Almaty International Airport,Kazakhstan,Almaty,43.354267,77.042828,KZ,,,,
ALB,Albany International Airport,United States of America,Albany,42.74829864501953,-73.80169678,US,,,,
ALC,Alicante-Elche Miguel Hernández Airport,Spain,Alicante,38.2822,-0.558156,ES,,,,
ALD,Alerta Airport,Peru,Fortaleza,-11.65018,-69.229614,PE,,,,
ALE,Alpine Casparis Municipal Airport,United States of America,Alpine,30.384199,-103.683998,US,,,,
ALF,Alta Airport,Norway,Alta,69.976097,23.3717,NO,,,,
ALG,Houari Boumediene Airport,Algeria,Algiers,36.693886,3.214531,DZ,,,,
ALH,Albany Airport,Australia,Albany,42.717368,-89.423935,US,,,,
ALI,Alice International Airport,United States of America,Alice,27.7409,-98.026901,US,,,,
ALJ,Alexander Bay Airport,South Africa,Alexander Bay,-28.575001,16.5333,ZA,,,,
